fold,bin_idx,bin_left,bin_right,mean_norm_price
13,28,1.4000000000000001,1.4500000000000002,0.041142180081392934
13,29,1.4500000000000002,1.5,0.06322140144287917
14,0,0.0,0.05,0.6660597605516646
14,1,0.05,0.1,0.8504562363473513
14,2,0.1,0.15000000000000002,0.7973222735616879
14,3,0.15000000000000002,0.2,0.7573011668347398
14,4,0.2,0.25,0.6830266540219238
14,5,0.25,0.30000000000000004,0.5729237160081534
14,6,0.30000000000000004,0.35000000000000003,0.5346998837518334
14,7,0.35000000000000003,0.4,0.45693586430325817
14,8,0.4,0.45,0.38136019526324555
14,9,0.45,0.5,0.3488670428717921
14,10,0.5,0.55,0.26956560372310756
14,11,0.55,0.6000000000000001,0.24187886335608216
14,12,0.6000000000000001,0.65,0.21649835526304645
14,13,0.65,0.7000000000000001,0.20216905700715732
14,14,0.7000000000000001,0.75,0.19976300408067613
14,15,0.75,0.8,0.17406142640970132
14,16,0.8,0.8500000000000001,0.19182113360480774
14,17,0.8500000000000001,0.9,0.23796245659238413
14,18,0.9,0.9500000000000001,0.3164468447593703
14,19,0.9500000000000001,1.0,0.3351058731505651
14,20,1.0,1.05,0.36271155876464123
14,21,1.05,1.1,0.3948018921413062
14,22,1.1,1.1500000000000001,0.3162785441085523
14,23,1.1500000000000001,1.2000000000000002,0.2659618993483426
14,24,1.2000000000000002,1.25,0.17663885813479693
14,25,1.25,1.3,0.2340627921141249
14,26,1.3,1.35,0.4234271441459972
14,27,1.35,1.4000000000000001,0.3973570490947075
14,28,1.4000000000000001,1.4500000000000002,0.041142180081392934
14,29,1.4500000000000002,1.5,0.06322140144287917
